Team [team_name=Boston Celtics, division_id=Atlantic, conference_id=East]
Team [team_name=Brooklyn Nets, division_id=Atlantic, conference_id=East]
Team [team_name=New York Knicks, division_id=Atlantic, conference_id=East]
Team [team_name=Philadelphia 76ers, division_id=Atlantic, conference_id=East]
Team [team_name=Toronto Raptors, division_id=Atlantic, conference_id=East]
Team [team_name=Chicago Bulls, division_id=Central, conference_id=East]
Team [team_name=Cleveland Cavaliers, division_id=Central, conference_id=East]
Team [team_name=Detroit Pistons, division_id=Central, conference_id=East]
Team [team_name=Indiana Pacers, division_id=Central, conference_id=East]
Team [team_name=Milwaukee Bucks, division_id=Central, conference_id=East]
Team [team_name=Atlanta Hawks, division_id=Southeast, conference_id=East]
Team [team_name=Charlotte Hornets, division_id=Southeast, conference_id=East]
Team [team_name=Miami Heat, division_id=Southeast, conference_id=East]
Team [team_name=Orlando Magic, division_id=Southeast, conference_id=East]
Team [team_name=Washington Wizards, division_id=Southeast, conference_id=East]
Team [team_name=Denver Nuggets, division_id=Northwest, conference_id=West]
Team [team_name=Minnesota Timberwolves, division_id=Northwest, conference_id=West]
Team [team_name=Oklahoma City Thunder, division_id=Northwest, conference_id=West]
Team [team_name=Portland Trail Blazers, division_id=Northwest, conference_id=West]
Team [team_name=Utah Jazz, division_id=Northwest, conference_id=West]
Team [team_name=Golden State Warriors, division_id=Pacific, conference_id=West]
Team [team_name=LA Clippers, division_id=Pacific, conference_id=West]
Team [team_name=Los Angeles Lakers, division_id=Pacific, conference_id=West]
Team [team_name=Phoenix Suns, division_id=Pacific, conference_id=West]
Team [team_name=Sacramento Kings, division_id=Pacific, conference_id=West]
Team [team_name=Dallas Mavericks, division_id=Southwest, conference_id=West]
Team [team_name=Houston Rockets, division_id=Southwest, conference_id=West]
Team [team_name=Memphis Grizzlies, division_id=Southwest, conference_id=West]
Team [team_name=New Orleans Pelicans, division_id=Southwest, conference_id=West]
Team [team_name=San Antonio Spurs, division_id=Southwest, conference_id=West]
GameInfo [date=Tue Oct 25 00:00:00 EDT 2016, home_team=Cleveland Cavaliers, away_team=New York Knicks, home_score=117, away_score=88, winner=Home]
GameInfo [date=Tue Oct 25 00:00:00 EDT 2016, home_team=Portland Trail Blazers, away_team=Utah Jazz, home_score=113, away_score=104, winner=Home]
GameInfo [date=Tue Oct 25 00:00:00 EDT 2016, home_team=Golden State Warriors, away_team=San Antonio Spurs, home_score=100, away_score=129, winner=Away]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Orlando Magic, away_team=Miami Heat, home_score=96, away_score=108, winner=Away]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Indiana Pacers, away_team=Dallas Mavericks, home_score=130, away_score=121, winner=Home]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Boston Celtics, away_team=Brooklyn Nets, home_score=122, away_score=117, winner=Home]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Toronto Raptors, away_team=Detroit Pistons, home_score=109, away_score=91, winner=Home]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Milwaukee Bucks, away_team=Charlotte Hornets, home_score=96, away_score=107, winner=Away]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Memphis Grizzlies, away_team=Minnesota Timberwolves, home_score=102, away_score=98, winner=Home]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=New Orleans Pelicans, away_team=Denver Nuggets, home_score=102, away_score=107, winner=Away]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Philadelphia 76ers, away_team=Oklahoma City Thunder, home_score=97, away_score=103, winner=Away]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Phoenix Suns, away_team=Sacramento Kings, home_score=94, away_score=113, winner=Away]
GameInfo [date=Wed Oct 26 00:00:00 EDT 2016, home_team=Los Angeles Lakers, away_team=Houston Rockets, home_score=120, away_score=114, winner=Home]
GameInfo [date=Thu Oct 27 00:00:00 EDT 2016, home_team=Atlanta Hawks, away_team=Washington Wizards, home_score=114, away_score=99, winner=Home]
GameInfo [date=Thu Oct 27 00:00:00 EDT 2016, home_team=Chicago Bulls, away_team=Boston Celtics, home_score=105, away_score=99, winner=Home]
GameInfo [date=Thu Oct 27 00:00:00 EDT 2016, home_team=Sacramento Kings, away_team=San Antonio Spurs, home_score=94, away_score=102, winner=Away]
GameInfo [date=Thu Oct 27 00:00:00 EDT 2016, home_team=Portland Trail Blazers, away_team=LA Clippers, home_score=106, away_score=114, winner=Away]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=Toronto Raptors, away_team=Cleveland Cavaliers, home_score=91, away_score=94, winner=Away]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=Brooklyn Nets, away_team=Indiana Pacers, home_score=103, away_score=94, winner=Home]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=Detroit Pistons, away_team=Orlando Magic, home_score=108, away_score=82, winner=Home]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=Oklahoma City Thunder, away_team=Phoenix Suns, home_score=113, away_score=110, winner=Home]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=Miami Heat, away_team=Charlotte Hornets, home_score=91, away_score=97, winner=Away]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=Dallas Mavericks, away_team=Houston Rockets, home_score=98, away_score=106, winner=Away]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=Utah Jazz, away_team=Los Angeles Lakers, home_score=96, away_score=89, winner=Home]
GameInfo [date=Fri Oct 28 00:00:00 EDT 2016, home_team=New Orleans Pelicans, away_team=Golden State Warriors, home_score=114, away_score=122, winner=Away]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=Philadelphia 76ers, away_team=Atlanta Hawks, home_score=72, away_score=104, winner=Away]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=Charlotte Hornets, away_team=Boston Celtics, home_score=98, away_score=104, winner=Away]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=New York Knicks, away_team=Memphis Grizzlies, home_score=111, away_score=104, winner=Home]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=Cleveland Cavaliers, away_team=Orlando Magic, home_score=105, away_score=99, winner=Home]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=Chicago Bulls, away_team=Indiana Pacers, home_score=118, away_score=101, winner=Home]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=Milwaukee Bucks, away_team=Brooklyn Nets, home_score=110, away_score=108, winner=Home]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=San Antonio Spurs, away_team=New Orleans Pelicans, home_score=98, away_score=79, winner=Home]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=Denver Nuggets, away_team=Portland Trail Blazers, home_score=113, away_score=115, winner=Away]
GameInfo [date=Sat Oct 29 00:00:00 EDT 2016, home_team=Sacramento Kings, away_team=Minnesota Timberwolves, home_score=106, away_score=103, winner=Home]
GameInfo [date=Sun Oct 30 00:00:00 EDT 2016, home_team=LA Clippers, away_team=Utah Jazz, home_score=88, away_score=75, winner=Home]
GameInfo [date=Sun Oct 30 00:00:00 EDT 2016, home_team=Phoenix Suns, away_team=Golden State Warriors, home_score=100, away_score=106, winner=Away]
GameInfo [date=Sun Oct 30 00:00:00 EDT 2016, home_team=Miami Heat, away_team=San Antonio Spurs, home_score=99, away_score=106, winner=Away]
GameInfo [date=Sun Oct 30 00:00:00 EDT 2016, home_team=Detroit Pistons, away_team=Milwaukee Bucks, home_score=98, away_score=83, winner=Home]
GameInfo [date=Sun Oct 30 00:00:00 EDT 2016, home_team=Memphis Grizzlies, away_team=Washington Wizards, home_score=112, away_score=103, winner=Home]
GameInfo [date=Sun Oct 30 00:00:00 EDT 2016, home_team=Oklahoma City Thunder, away_team=Los Angeles Lakers, home_score=113, away_score=96, winner=Home]
GameInfo [date=Sun Oct 30 00:00:00 EDT 2016, home_team=Houston Rockets, away_team=Dallas Mavericks, home_score=93, away_score=92, winner=Home]
GameInfo [date=Mon Oct 31 00:00:00 EDT 2016, home_team=Toronto Raptors, away_team=Denver Nuggets, home_score=105, away_score=102, winner=Home]
GameInfo [date=Mon Oct 31 00:00:00 EDT 2016, home_team=Brooklyn Nets, away_team=Chicago Bulls, home_score=88, away_score=118, winner=Away]
GameInfo [date=Mon Oct 31 00:00:00 EDT 2016, home_team=Atlanta Hawks, away_team=Sacramento Kings, home_score=106, away_score=95, winner=Home]
GameInfo [date=Mon Oct 31 00:00:00 EDT 2016, home_team=LA Clippers, away_team=Phoenix Suns, home_score=116, away_score=98, winner=Home]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=Philadelphia 76ers, away_team=Orlando Magic, home_score=101, away_score=103, winner=Away]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=Cleveland Cavaliers, away_team=Houston Rockets, home_score=128, away_score=120, winner=Home]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=Indiana Pacers, away_team=Los Angeles Lakers, home_score=115, away_score=108, winner=Home]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=Miami Heat, away_team=Sacramento Kings, home_score=108, away_score=96, winner=Home]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=Detroit Pistons, away_team=New York Knicks, home_score=102, away_score=89, winner=Home]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=New Orleans Pelicans, away_team=Milwaukee Bucks, home_score=113, away_score=117, winner=Away]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=Minnesota Timberwolves, away_team=Memphis Grizzlies, home_score=116, away_score=80, winner=Home]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=San Antonio Spurs, away_team=Utah Jazz, home_score=91, away_score=106, winner=Away]
GameInfo [date=Tue Nov 01 00:00:00 EDT 2016, home_team=Portland Trail Blazers, away_team=Golden State Warriors, home_score=104, away_score=127, winner=Away]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Washington Wizards, away_team=Toronto Raptors, home_score=103, away_score=113, winner=Away]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Charlotte Hornets, away_team=Philadelphia 76ers, home_score=109, away_score=93, winner=Home]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Brooklyn Nets, away_team=Detroit Pistons, home_score=109, away_score=101, winner=Home]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=New York Knicks, away_team=Houston Rockets, home_score=99, away_score=118, winner=Away]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Atlanta Hawks, away_team=Los Angeles Lakers, home_score=116, away_score=123, winner=Away]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Memphis Grizzlies, away_team=New Orleans Pelicans, home_score=89, away_score=83, winner=Home]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Boston Celtics, away_team=Chicago Bulls, home_score=107, away_score=100, winner=Home]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Utah Jazz, away_team=Dallas Mavericks, home_score=97, away_score=81, winner=Home]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=Phoenix Suns, away_team=Portland Trail Blazers, home_score=118, away_score=115, winner=Home]
GameInfo [date=Wed Nov 02 00:00:00 EDT 2016, home_team=LA Clippers, away_team=Oklahoma City Thunder, home_score=83, away_score=85, winner=Away]
GameInfo [date=Thu Nov 03 00:00:00 EDT 2016, home_team=Orlando Magic, away_team=Sacramento Kings, home_score=102, away_score=94, winner=Home]
GameInfo [date=Thu Nov 03 00:00:00 EDT 2016, home_team=Milwaukee Bucks, away_team=Indiana Pacers, home_score=125, away_score=107, winner=Home]
GameInfo [date=Thu Nov 03 00:00:00 EDT 2016, home_team=Minnesota Timberwolves, away_team=Denver Nuggets, home_score=99, away_score=102, winner=Away]
GameInfo [date=Thu Nov 03 00:00:00 EDT 2016, home_team=Cleveland Cavaliers, away_team=Boston Celtics, home_score=128, away_score=122, winner=Home]
GameInfo [date=Thu Nov 03 00:00:00 EDT 2016, home_team=Golden State Warriors, away_team=Oklahoma City Thunder, home_score=122, away_score=96, winner=Home]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Washington Wizards, away_team=Atlanta Hawks, home_score=95, away_score=92, winner=Home]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Toronto Raptors, away_team=Miami Heat, home_score=96, away_score=87, winner=Home]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Brooklyn Nets, away_team=Charlotte Hornets, home_score=95, away_score=99, winner=Away]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Chicago Bulls, away_team=New York Knicks, home_score=104, away_score=117, winner=Away]
